Supernova,V,D
SN1990O,9065,134.7
SN1190T,12012,158.9
SN1990af,15055,198.6
SN1991S,16687,238.9
SN1991U,9801,117.1
SN1991ag,4124,56.0
SN1992J,13707,183.9
SN1992P,7880,121.5
SN1992ae,22426,274.6
SN1992ag,7765,102.1
SN1992al,4227,58.0
SN1992aq,30253,467.0
SN1992au,18212,262.2
SN1992bc,5935,88.6
SN1992bg,10696,151.4
SN1992bh,13518,202.5
SN1992bk,17371,235.9
SN1992bl,12871,176.8
SN1992bo,5434,77.9
SN1992bp,23646,309.5
SN1992br,26318,391.5
SN1992bs,18997,280.1
SN1993B,21190,303.4
SN1993O,15567,236.1
SN1993ag,15002,215.4
SN1993ah,8604,119.7
SN1993ac,14764,202.3
SN1993ae,5424,71.8
SN1994M,7241,96.7
SN1994Q,8691,127.8
SN1994S,4847,66.8
SN1994T,10715,149.9
SN1995ac,14634,185.6
SN1995ak,6673,82.4
SN1996C,9024,136.0
SN1996bl,10446,132.7